id,location_id,GoGetta URL,Org name,location_name,Age min,Age max (inclusive),All ages,Population served,Update needed,service_name,ages_info,Assigned
55f4d453-4a5a-41db-92f6-53861f953f4d,5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2,https://streetlives.nyc/find/location/5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2,11SEIU Funds,Brooklyn Office,18,,,Union Workers and their dependents,,Employment Center,,
55f4d453-4a5a-41db-92f6-53861f953f4d,5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2,,11SEIU Funds,Brooklyn Office,18,,,Union Workers and their dependents,,Services for 11 Union Workers,,
e88f2321-862d-4d44-9ed6-859119c3bdba,3524aa05-0d6d-4d4e-878c-ceb64006e8c5,,Abraham House,,18,,,,,After School Program,,
e88f2321-862d-4d44-9ed6-859119c3bdba,3524aa05-0d6d-4d4e-878c-ceb64006e8c5,,Abraham House,,18,,,,,Alternative to Incarceration,,
e88f2321-862d-4d44-9ed6-859119c3bdba,3524aa05-0d6d-4d4e-878c-ceb64006e8c5,,Abraham House,,18,,,,,Children with Incarcerated Parents,,
e88f2321-862d-4d44-9ed6-859119c3bdba,3524aa05-0d6d-4d4e-878c-ceb64006e8c5,,Abraham House,,18,,,,,Food Pantry,,
3bffd7-ebb7-4c3f-bcaa-8e3d9ec53687,3ad2f80e-53b1-4da7-b862-60507ad3d2cd,,Acacia Network,Claremont Family Health Care Center,,,X,,,Patient Services,,
38e8b247-82d1-44bf-83c6-2fb5cf076517,9a569e7a-a52f-42d5-855c-e52da9fc3528,,Acacia Network,Basics (Pros),18,,,,,Mental Health Services,,
f8b35a3b-df0f-4d8c-8535-8aabbe794ae0,818bc265-4b78-4831-a067-b29c8bb59a,https://streetlives.nyc/find/location/818bc265-4b78-4831-a067-b29c8bb59a,Acacia Network,Carlos Pagan Recovery Center,13,,,,,Methadone and Alcoholism Treatment,,
bbc1afdd-3e20-4d9c-b449-1815b10aeee6,4fd214ad-2a96-4392-a820-949059fbafbb,,Acacia Network,Clay Avenue Family Health Center (FQHC),18,,,,,Mental Health and Primary Care,,
f6e7efaa-66f7-4049-a5c6-f530c66bf60f,fe0f768d-295d-4f6e-8766-ffc12e73943d,,Acacia Network,El Regreso Foundation Inc,13,,,,,Outpatient Substance Use,,
ede94804-deda-4840-a2d2-46c8a4dd2526,ad067b1f-085a-456d-a9c2-4c442d9a0014,,Acacia Network,La Casa de Salud,,,X,,,Behavioral Health,,
ede94804-deda-4840-a2d2-46c8a4dd2526,ad067b1f-085a-456d-a9c2-4c442d9a0014,,Acacia Network,La Casa de Salud,,,X,,,Primary Care,,
ede94804-deda-4840-a2d2-46c8a4dd2526,ad067b1f-085a-456d-a9c2-4c442d9a0014,,Acacia Network,La Casa de Salud,5,,,,,Social Services,,
